   100 | ARROYO ARROYON                                                                      | 1649 |            1
   101 | ARROYO ARROYON DE FELICARIA                                                         | 1649 |            1
   102 | ARROYO BALDOSAS                                                                     | 1649 |            1
   103 | ARROYO BALTICO                                                                      | 1649 |            1
   104 | ARROYO BANCO                                                                        | 1649 |            1
   105 | ARROYO BOCA FALSA                                                                   | 1649 |            1
   106 | ARROYO BORASSO                                                                      | 1649 |            1
   107 | ARROYO BORCHES                                                                      | 1649 |            1
   108 | ARROYO BOTIJA FALSA                                                                 | 2800 |            1
   109 | ARROYO BUENA VISTA                                                                  | 1649 |            1
   110 | ARROYO BURGOS                                                                       | 2935 |            1
   111 | ARROYO BUSTO                                                                        | 1649 |            1
   112 | ARROYO CAGUANE                                                                      | 1649 |            1
   113 | ARROYO CAMACHITO                                                                    | 1649 |            1
   114 | ARROYO CAMACHO                                                                      | 1649 |            1
   115 | ARROYO CANALETON                                                                    | 1649 |            1
   116 | ARROYO CANCHA LARGA                                                                 | 1649 |            1
   117 | ARROYO CANELON                                                                      | 1625 |            1
   118 | ARROYO CANELONES                                                                    | 1649 |            1
   119 | ARROYO CAPITAN CHICO                                                                | 1649 |            1
   120 | ARROYO CAPITANCITO                                                                  | 1649 |            1
   121 | ARROYO CARABALLO                                                                    | 1649 |            1
   122 | ARROYO CARABELAS                                                                    | 1649 |            1
   123 | ARROYO CARABELITAS                                                                  | 2805 |            1
   124 | ARROYO CARACOLES                                                                    | 1649 |            1
   125 | ARROYO CARAGUATA                                                                    | 1649 |            1
   126 | ARROYO CARANCHO                                                                     | 1649 |            1
   127 | ARROYO CARAPUATI                                                                    | 1649 |            1
   128 | ARROYO CARLOS M. NOEL                                                               | 1649 |            1
   129 | ARROYO CARNICERO                                                                    | 1649 |            1
   130 | ARROYO CARPINCHO (PDO. SAN FERNANDO)                                                | 1649 |            1
   131 | ARROYO CHANA                                                                        | 1649 |            1
   132 | ARROYO CHANACILIO                                                                   | 1649 |            1
